#,긴급(여기에 O표시),발생시각KST,나이h,분류,cross,rc,grade,속보태그,breaking,제목
169,,06-19 14:18,72.5,,6,2,2,Y,,[속보]李대통령 “트럼프 ‘美 군함 10척 빠르게 건조해 줄 수 있나’ 요청”
170,,06-19 14:18,72.5,,5,1,2,Y,,"[속보] 李대통령 ""트럼프와 조선협력 중요성 공감…美 군함건조 논의"""
171,,06-19 13:17,73.5,,4,2,2,,Y,"코스피, 장중 하락 전환해 9,000선 아래로…코스닥 4.7% 하락"
172,,06-19 13:02,73.8,정치,14,1,2,,,"與 ""미·이란 종전 양해각서 환영…에너지 수급 정상화에 총력 다할 것"""
173,,06-19 13:02,73.8,,5,1,1,Y,,"[속보] 검찰, ‘연어 술자리 위증’ 이화영에 징역 2년·벌금 500만원 구형"
174,,06-19 12:17,74.5,,6,3,0,,,단 한번의 수비 실책…멕시코전 아쉬운 0-1 패배
175,,06-19 11:17,75.5,국제,15,3,2,,,"중 외교장관, 이란에 “호르무즈 해협, 국제사회 보편적 관심에 온당하게 답해야”"
176,,06-19 11:03,75.8,경제,14,8,2,,,코스피 9000 시대… 올해 매달 800씩 뛰어
177,,06-19 11:03,75.8,정치,9,17,2,,,"李대통령 “선관위 감시·통제 필요...원포인트 개헌이라도 해야"""
178,,06-19 10:47,76.0,정치,15,7,1,,,"정청래, 李대통령에 90도 인사... 의총에선 “월드클래스 지도자”"
179,,06-19 10:33,76.3,,6,2,2,Y,,"[속보]백악관, 밴스 스위스行 연기…이란과 후속협상 개시 지연"
180,,06-19 10:17,76.5,경제,14,1,2,,,美 금리 악재도 뚫었다… 사상 첫 ‘9000피’ 시대
181,,06-19 10:17,76.5,정치,5,7,1,,,"국힘 “코스피 9000, 떨어진 종목이 7배 많아…박탈감 안기는 숫자”"
182,,06-19 09:47,77.0,국제,6,6,2,,,트럼프 “세계경제공황 막기 위해 이란과 합의한 것”
183,,06-19 09:32,77.3,사회,15,29,1,,,"검찰, ‘연어 술자리 위증’ 이화영에 징역 2년·벌금 500만원 구형"
184,,06-19 09:17,77.5,,5,2,2,,,"구윤철 ""종전 MOU로 기회와 과제…포스트 중동경제정책 본격화"""
185,,06-19 09:03,77.8,국제,13,3,2,,,"종전 MOU 공개되자… 美 보수진영, “오바마랑 똑같다” 반발"
186,,06-19 07:17,79.5,국제,14,3,2,,,"이란 대통령 “MOU, 미국과 전쟁 종료하는 역사적 합의” 평가"
187,,06-19 07:03,79.8,국제,14,1,3,Y,,"[속보] 백악관 당국자 “트럼프, 이란과의 종전 MOU 서명했다”"
188,,06-19 07:03,79.8,경제,5,3,0,,,"SK하이닉스, 프리마켓서 280만원 돌파…사상 최고가"
189,,06-19 06:17,80.5,국제,14,3,3,,,"백악관 “트럼프, 이란과의 종전 MOU 이미 서명”"
190,,06-19 06:17,80.5,,5,5,2,,,주거 안 되는데 ‘전입 가능’…생활숙박시설 허위 광고 315건 무더기 적발
191,,06-19 06:03,80.8,국제,13,1,3,,,"백악관 “트럼프, 이란과의 종전 MOU 이미 서명”"
192,,06-19 05:32,81.3,국제,13,2,2,,,"트럼프 행정부, 종전 MOU 공개… “60일동안만 호르무즈 통행료 면제”"
193,,06-19 04:32,82.3,국제,13,3,2,,,"美, 종전 MOU 전문 공개 “60일간만 호르무즈 통행료 면제”"
194,,06-19 04:18,82.5,국제,11,1,0,,,"뉴욕증시, 미국 ·이란 종전 MOU 서명 소식에 상승 출발"
195,,06-19 04:18,82.5,,8,5,0,,,홍명보호에 호재…‘남아공 황인범’ 모코에나 경고 누적 결장[월드컵24시]
196,,06-19 04:18,82.5,,5,6,0,,,"홍명보호 ‘조 1위’ 판 깔렸다…남아공, 체코와 1-1 무승부"
197,,06-19 02:17,84.5,국제,14,2,2,,,이란 협상단장 “60일 협상기간 지나면 호르무즈 수수료 부과”
198,,06-19 01:17,85.5,정치,8,1,2,,,국힘 경기 의원들 ‘장동혁 사퇴’ 회견 보류… 張은 병원 찾았다 입원
199,,06-19 00:03,86.8,경제,14,9,2,,,"美 워시도 못말린 코스피, 사상 처음으로 9000 돌파"
200,,06-18 23:47,87.0,국제,11,1,2,,,"美, 종전 MOU 전문 공개 “60일간만 호르무즈 통행료 면제”"
201,,06-18 23:02,87.8,경제,13,5,0,,,"달러 대비 원화 환율, 10.3원 오른 1537.4원에 출발"
202,,06-18 21:47,89.0,국제,12,2,2,,,"트럼프 행정부, 종전 MOU 공개… “60일동안만 호르무즈 통행료 면제”"
203,,06-18 21:03,89.8,국제,14,6,2,,,레바논 휴전·이란 지원까지···미·이란 MOU에 난감해진 네타냐후
204,,06-18 21:03,89.8,국제,12,2,2,,,美-이란 종전 MOU 14개항 초안 공개… ‘호르무즈 정상화-핵포기 재확인’ 명시
205,,06-18 20:47,90.0,국제,12,5,2,,,트럼프 “이번 합의는 核 막는 ‘트럼프 합의’… 행동 똑바로 안 하면 폭격”
206,,06-18 20:47,90.0,국제,12,1,2,,,"종전 MOU 공개되자… 美 보수진영, “오바마랑 똑같다” 반발"
207,,06-18 20:47,90.0,경제,5,2,2,,,내년 최저임금도 전 업종 '동일'…차등적용 부결
208,,06-18 20:32,90.3,국제,11,1,2,,,트럼프 “이란 MOU 최종안 아냐... 마음에 안들면 다시 폭탄 투하”
